Unnamed: 0,Date,User,Tweet
66501,2019-05-17 19:42:37+00:00,Neelu__Jain,@htTweets @RahulGandhi Awww.. Poor boy! Guys please don't be so harsh with him. Just coz he is a grown up man doesn't mean his brain is grown up yet! Please be nice to him else he might leave the PC and run to mommy for rescue. #LokSabhaElections2019
48209,2019-03-01 06:39:45+00:00,anilkumarkpn,@KapilSibal Better you dont speak....You fight cases for Anil Ambani and on contrary Rahul gandi keeps shouting that #bjp favored Anil Ambani....do youthink people are stupid...
126127,2019-03-10 12:02:55+00:00,SachinKrIndia,"#Election2019  
BIG DATE counting on 23rd May #ElectionCommission #LokSabhaElections2019"
60691,2019-01-20 09:27:30+00:00,sushant0487,"On this cold Sunday morning in London, reflections from political world from US Shutdown to Brexit Chaos to Modi Fear in Indian politicos is making it sure that we will again have an eventful political year #PoliticsToday #Brexit #NarendraModi"
15837,2019-04-21 02:37:53+00:00,sulabh_7,@battakhushboo23 #BJP trying to raise Hindu nikker Sena to fight Muslims called #Chowkidars
71595,2019-05-10 06:11:11+00:00,a_vinash__,"@the_hindu So what if it is leaked report?  
Chor never gonna publish its secrets in public.
#ChowkidarChorHai 
#LokSabhaElections2019"
89481,2019-04-18 10:18:25+00:00,AditiAnarayanan,"JUST IN: #MHA takes action against one more #Bangladeshi actor, Ghazi Abdul Noor,who attended a pol rally in Dumdum,WB. He has been asked to leave India. 

Appropriate action is also being taken regarding his overstay despite his Visa getting expired #LokSabhaElections2019"
108530,2019-03-30 13:51:56+00:00,TrollllSingh,"#LokSabhaElections2019 my serious suggestion , if by any chance Congress wins , please make Alia Bhatt PM , Mr Raga and her intellectuals are almost similar
In face she would Act better dramas in Parliament for entertainment"
19390,2019-04-16 03:51:00+00:00,jsagarshri,@waglenikhil Tell me what has VBA done in last five years to oppose #BJP in state or centre?on what issues they raised voice for common people..they have come together for their personal benefit nothing ekse
62079,2019-01-14 07:44:51+00:00,NewsMobileIndia,. @BJP4Karnataka MLAs including state #BJP president #BSYeddyurappa to hold a meeting in #Delhi later today to discuss #LoksabhaElection &amp; ongoing political developments in the state
